t [d],LAI [-]
0.000,0.006
1.000,0.006
2.000,0.006
3.000,0.006
4.000,0.006
5.000,0.006
6.000,0.006
7.000,0.006
8.000,0.006
9.000,0.006
10.000,0.006
11.000,0.006
12.000,0.006
13.000,0.006
14.000,0.006
15.000,0.006
16.000,0.006
17.000,0.006
18.000,0.006
19.000,0.006
20.000,0.006
21.000,0.006
22.000,0.006
23.000,0.006
24.000,0.006
25.000,0.006
26.000,0.006
27.000,0.006
28.000,0.006
29.000,0.006
30.000,0.006
31.000,0.006
32.000,0.006
33.000,0.006
34.000,0.006
35.000,0.006
36.000,0.006
37.000,0.006
38.000,0.006
39.000,0.006
40.000,0.006
41.000,0.006
42.000,0.006
43.000,0.006
44.000,0.006
45.000,0.006
46.000,0.006
47.000,0.006
48.000,0.006
49.000,0.006
50.000,0.006
51.000,0.006
52.000,0.006
53.000,0.006
54.000,0.006
55.000,0.006
56.000,0.006
57.000,0.006
58.000,0.006
59.000,0.006
60.000,0.006
61.000,0.006
62.000,0.006
63.000,0.006
64.000,0.006
65.000,0.006
66.000,0.006
67.000,0.006
68.000,0.006
69.000,0.006
70.000,0.006
71.000,0.006
72.000,0.006
73.000,0.006
74.000,0.006
75.000,0.006
76.000,0.006
77.000,0.006
78.000,0.006
79.000,0.006
80.000,0.006
81.000,0.006
82.000,0.006
83.000,0.006
84.000,0.006
85.000,0.007
86.000,0.007
87.000,0.007
88.000,0.007
89.000,0.008
90.000,0.008
91.000,0.008
92.000,0.008
93.000,0.009
94.000,0.009
95.000,0.009
96.000,0.009
97.000,0.010
98.000,0.010
99.000,0.010
100.000,0.010
101.000,0.011
102.000,0.011
103.000,0.012
104.000,0.012
105.000,0.012
106.000,0.012
107.000,0.012
108.000,0.013
109.000,0.013
110.000,0.013
111.000,0.013
112.000,0.013
113.000,0.014
114.000,0.014
115.000,0.014
116.000,0.014
117.000,0.014
118.000,0.015
119.000,0.015
120.000,0.015
121.000,0.017
122.000,0.017
123.000,0.018
124.000,0.018
125.000,0.018
126.000,0.019
127.000,0.020
128.000,0.021
129.000,0.022
130.000,0.023
131.000,0.024
132.000,0.027
133.000,0.029
134.000,0.031
135.000,0.033
136.000,0.037
137.000,0.040
138.000,0.044
139.000,0.048
140.000,0.051
141.000,0.054
142.000,0.060
143.000,0.067
144.000,0.076
145.000,0.085
146.000,0.097
147.000,0.112
148.000,0.129
149.000,0.148
150.000,0.170
151.000,0.189
152.000,0.212
153.000,0.240
154.000,0.272
155.000,0.303
156.000,0.339
157.000,0.376
158.000,0.404
159.000,0.425
160.000,0.454
161.000,0.486
162.000,0.533
163.000,0.586
164.000,0.622
165.000,0.673
166.000,0.749
167.000,0.837
168.000,0.909
169.000,0.979
170.000,1.076
171.000,1.198
172.000,1.328
173.000,1.473
174.000,1.619
175.000,1.761
176.000,1.817
177.000,1.835
178.000,1.927
179.000,2.012
180.000,2.030
181.000,2.057
182.000,2.070
183.000,2.064
184.000,2.100
185.000,2.173
186.000,2.274
187.000,2.382
188.000,2.510
189.000,2.650
190.000,2.754
191.000,2.907
192.000,3.042
193.000,3.100
194.000,3.106
195.000,3.135
196.000,3.146
197.000,3.171
198.000,3.153
199.000,3.270
200.000,3.429
201.000,3.561
202.000,3.629
203.000,3.768
204.000,3.876
205.000,3.918
206.000,3.986
207.000,3.990
208.000,4.055
